census_year,small_area_guid,small_area_code,small_area_geogid,county_code,county_name,electoral_division_guid,electoral_division_code,electoral_division_name,local_electoral_area_code,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,urban_area_flag,urban_area_name
2022,a50fad25-1a11-43ae-86bd-ba4ef2918244,187026002/01/187026003,A187026002/01/A187026003,12,OFFALY,2ae19629-1a6a-13a3-e055-000000000001,187026,DAINGEAN,EDENDERRY,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-162c-851d-e053-ca3ca8c0ca7f,267101005,A267101005,03,SOUTH DUBLIN,2ae19629-1dc8-13a3-e055-000000000001,267101,LUCAN HEIGHTS,LUCAN,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-1e0b-851d-e053-ca3ca8c0ca7f,037027005,A037027005,16,CLARE,2ae19629-200e-13a3-e055-000000000001,037027,CLENAGH,SHANNON,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Shannon
2022,4c07d11e-18df-851d-e053-ca3ca8c0ca7f,087066012,A087066012,06,KILDARE,2ae19629-2240-13a3-e055-000000000001,087066,MAYNOOTH,MAYNOOTH,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Maynooth
2022,4c07d11e-1823-851d-e053-ca3ca8c0ca7f,087071017,A087071017,06,KILDARE,2ae19629-225b-13a3-e055-000000000001,087071,NAAS URBAN,NAAS,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Naas
2022,4c07d11e-12c3-851d-e053-ca3ca8c0ca7f,187079003,A187079003,12,OFFALY,2ae19629-1a6b-13a3-e055-000000000001,187079,SHINRONE,BIRR,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-2025-851d-e053-ca3ca8c0ca7f,048012004,A048012004,17,CORK CITY,2ae19629-215e-13a3-e055-000000000001,048012,BLACKPOOL B,CORK CITY NORTH EAST,IE0,Ireland,IE05,Southern,IE053,South-West,1,Cork city and suburbs
2022,4c07d11e-3239-851d-e053-ca3ca8c0ca7f,267140040,A267140040,03,SOUTH DUBLIN,2ae19629-1cb7-13a3-e055-000000000001,267140,TALLAGHT-JOBSTOWN,TALLAGHT SOUTH,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-0906-851d-e053-ca3ca8c0ca7f,177010002,A177010002,34,MONAGHAN,2ae19629-1a88-13a3-e055-000000000001,177010,BOCKS,CARRICKMACROSS-CASTLEBLAYNEY,IE0,Ireland,IE04,Northern and Western,IE041,Border,0,
2022,4c07d11e-03f9-851d-e053-ca3ca8c0ca7f,217089004,A217089004,23,SOUTH TIPPERARY,2ae19629-1c5f-13a3-e055-000000000001,217089,INISHLOUNAGHT,CLONMEL,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Clonmel
2022,4c07d11e-225e-851d-e053-ca3ca8c0ca7f,257048011,A257048011,15,WICKLOW,2ae19629-1e61-13a3-e055-000000000001,257048,KILCOOLE,GREYSTONES,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Greystones-Delgany
2022,4c07d11e-37c4-851d-e053-ca3ca8c0ca7f,268008012,A268008012,02,DUBLIN CITY,2ae19629-1d04-13a3-e055-000000000001,268008,AYRFIELD,DONAGHMEDE,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-1fd7-851d-e053-ca3ca8c0ca7f,087069044,A087069044,06,KILDARE,2ae19629-224e-13a3-e055-000000000001,087069,MORRISTOWNBILLER,NEWBRIDGE,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Newbridge
2022,4c07d11e-0ee9-851d-e053-ca3ca8c0ca7f,087015001/01,A087015001/01,06,KILDARE,2ae19629-2273-13a3-e055-000000000001,087015,BURTOWN,ATHY,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,0,
2022,4c07d11e-2619-851d-e053-ca3ca8c0ca7f,267021001,A267021001,05,DUN LAOGHAIRE/RATHDOWN,2ae19629-1cbf-13a3-e055-000000000001,267021,BLACKROCK-CENTRAL,BLACKROCK,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
